Decay (d)	T_eff	L/C amp (mag)
36.576593	5578	0.006963
55.902549	5090	0.008086
18.820530	5819	0.000975
78.548453	5766	0.005182
107.057183	4724	0.008923
50.955923	4304	0.003258
295.277614	5161	0.018840
10.672983	5666	0.001206
38.014683	5604	0.003906
27.399213	5451	0.002986
72.085763	5454	0.005115
35.762386	5554	0.003818
55.648703	5149	0.008548
36.688845	5283	0.007858
79.586281	4182	0.009235
41.536687	5357	0.003736
39.215122	4192	0.002664
56.801005	4680	0.006285
51.235325	4179	0.003710
24.214194	5529	0.001314
101.858475	5285	0.011815
26.366852	5701	0.000951
38.611835	5190	0.005263
87.416054	5875	0.000835
202.321760	4867	0.017760
54.271772	4987	0.007778
16.869350	5701	0.001988
98.577469	5201	0.007864
15.193272	5685	0.002835
54.173155	5700	0.000347
60.356313	3930	0.004169
49.668190	5388	0.009023
295.063174	5102	0.015642
18.273479	5707	0.001774
10.918848	6060	0.000372
30.467001	5644	0.004008
76.922483	5621	0.004153
32.389686	5757	0.003758
174.039628	5089	0.011058
28.061299	5568	0.001939
89.599123	5358	0.008443
176.942603	5140	0.014659
53.847541	5627	0.001371
117.049737	5065	0.008248
112.381968	5199	0.012663
40.522606	6126	0.000706
116.725196	4229	0.006182
22.793745	5631	0.001063
66.816603	5536	0.005289
76.998907	5022	0.002469
85.154850	4072	0.005345
19.851458	5486	0.001759
139.465170	5211	0.015033
61.052576	3828	0.004214
64.156350	4973	0.006206
20.182083	5824	0.001645
96.956594	4640	0.011368
31.710958	5373	0.003961
14.856902	5589	0.002060
65.502454	5320	0.003564
78.306819	5992	0.001009
28.575155	5305	0.003734
11.217797	5472	0.001590
99.025031	4584	0.008056
48.393097	4910	0.004999
70.311553	5768	0.017882
37.341444	6345	0.000808
28.777525	4213	0.003324
164.515432	3624	0.006831
77.790517	5290	0.004064
188.834763	4637	0.010747
66.750927	5009	0.010673
42.372613	3719	0.003371
140.070024	5128	0.012329
11.737960	5828	0.001757
39.919882	5600	0.001474
14.676206	5693	0.001605
16.900831	5503	0.001083
109.911726	5207	0.003548
48.686055	5251	0.004280
27.862079	5575	0.003934
351.599373	3858	0.010270
114.296752	5247	0.005468
162.123318	5193	0.008405
11.297730	5849	0.001814
10.617582	5827	0.001600
128.028558	4698	0.012507
97.367073	4739	0.015752
93.360445	3752	0.005051
32.982957	5506	0.005978
20.186246	5808	0.002608
102.428244	5321	0.013191
52.499578	5303	0.005595
25.375165	5521	0.003327
56.743685	3751	0.004879
34.153962	5455	0.003951
34.705218	6028	0.000731
509.517316	4710	0.025452
76.141506	3581	0.004886
14.837085	5641	0.002967
97.368332	4450	0.009447
24.299384	5688	0.002453
9.347959	5617	0.002614
22.476482	5434	0.002583
49.297234	5294	0.003367
46.636702	5283	0.004511
66.506946	3709	0.004263
77.999575	5150	0.007806
61.539089	5442	0.011895
36.808955	5457	0.001832
85.743449	5456	0.005901
138.211252	4829	0.010270
26.744544	5572	0.002838
48.061490	5646	0.004641
78.816708	5067	0.005054
82.942937	4813	0.013487
721.601053	3677	0.010503
54.173053	5493	0.007622
59.769536	5148	0.006010
47.374913	3778	0.002516
18.194952	5557	0.000856
8.374613	5698	0.001628
89.429635	5767	0.001476
49.188947	5183	0.003760
25.757121	5233	0.003306
100.863220	5491	0.012940
130.865985	4765	0.014465
16.604776	5335	0.001397
51.206165	6136	0.000692
17.142379	5585	0.001837
57.410406	5731	0.001074
36.009855	5191	0.004014
169.404732	3610	0.004670
31.011501	5931	0.001436
15.315608	5739	0.001804
128.494758	5191	0.010036
80.013769	5100	0.009731
31.146681	4893	0.001926
267.916584	5288	0.015026
47.887581	5599	0.004409
14.585482	5527	0.001149
92.674003	4928	0.020725
28.456908	5395	0.006339
270.615914	4545	0.011655
67.226449	5469	0.012228
15.921259	5788	0.001520
29.549933	5654	0.004251
71.876139	5560	0.005488
71.823799	6457	0.000777
28.016255	5924	0.001251
38.734598	5052	0.002477
328.438833	4271	0.014757
155.765469	4162	0.002138
17.933803	5351	0.001220
84.941977	4631	0.009157
46.941877	5101	0.005020
49.520948	4408	0.002849
140.348392	5259	0.010062
82.670536	3823	0.003975
134.662557	3379	0.014463
83.033427	5293	0.007844
42.233515	5276	0.003118
21.250992	5313	0.002812
103.353388	5323	0.008096
29.166784	5373	0.003020
14.569715	5743	0.001146
33.395632	5209	0.004099
12.719734	5540	0.002614
135.053822	6129	0.000354
26.888506	4306	0.001541
41.513715	5398	0.002562
111.876599	5088	0.014980
95.261948	4709	0.010777
105.729106	4879	0.010870
58.872332	4594	0.007598
149.720144	5057	0.007755
45.455891	5480	0.003246
68.377141	4402	0.006729
85.555421	4527	0.012393
43.147874	5293	0.002257
67.222954	5226	0.008170
114.726622	3654	0.005192
35.959275	4054	0.003911
95.416368	5094	0.010727
26.301391	5415	0.002566
109.193926	4229	0.015799
54.924677	4090	0.005954
43.641897	5295	0.003497
84.814111	5296	0.007619
37.335983	5616	0.002531
66.018006	5318	0.004474
26.147064	5494	0.001810
78.890066	5090	0.007629
78.218470	3825	0.003826
34.340146	5280	0.003862
34.885645	5086	0.004059
237.574563	4736	0.008792
55.283189	5957	0.000856
17.287576	5543	0.002375
317.843299	5468	0.015786
72.662804	5898	0.001486
9.450839	6181	0.000952
22.439743	5588	0.003211
429.017517	4257	0.013499
98.763007	4814	0.005802
67.283201	4713	0.009121
26.508151	5554	0.002224
85.840410	4131	0.003514
194.501309	3750	0.008260
92.534415	5055	0.012699
73.242072	5294	0.005630
11.470629	5790	0.001307
12.495266	5679	0.001157
62.273210	5351	0.007389
89.023441	4313	0.004405
31.169740	5318	0.005382
59.592246	5199	0.006668
157.785055	3804	0.003759
63.221215	5575	0.003751
253.245264	5666	0.011972
84.377534	3680	0.002881
131.517885	5079	0.011623
158.983830	4954	0.019310
73.646859	5344	0.010111
132.022722	5403	0.009839
168.571820	5598	0.002165
18.081602	5673	0.000687
31.617299	5581	0.003435
222.523188	4626	0.013238
92.381587	5404	0.008629
52.284482	5419	0.006547
102.463264	5292	0.008501
226.055167	4411	0.016934
267.745479	4841	0.020856
107.284772	4945	0.008808
19.480022	5732	0.002555
77.958344	5159	0.009921
76.220676	5131	0.009814
38.023182	5867	0.001321
27.091306	5747	0.002327
94.755118	5525	0.006844
32.121117	5461	0.002816
30.332081	5677	0.002501
30.861098	5640	0.002826
25.940535	5618	0.002775
387.399674	4101	0.016711
43.858308	5480	0.004121
16.593992	5726	0.001543
35.103859	5090	0.004602
21.648927	5736	0.002096
179.002108	5838	0.000880
5.385049	5679	0.000918
128.075556	5701	0.000491
49.293435	3559	0.003303
101.582016	5279	0.010904
91.153883	5273	0.007391
85.656100	5239	0.006997
55.702671	3821	0.001976
125.898031	5387	0.013256
39.794369	4093	0.005584
127.152212	4861	0.008576
46.957941	5307	0.005311
111.721986	4286	0.007761
94.538705	5146	0.006505
25.292788	5556	0.002949
35.637282	5314	0.004304
14.050572	5823	0.001596
50.937908	5544	0.002508
20.292224	5861	0.001785
317.231862	4470	0.012337
32.883949	5593	0.002656
97.865113	4637	0.013239
96.086264	4365	0.005295
73.789147	4114	0.001625
116.288598	5103	0.019576
49.680179	5267	0.003339
55.291741	3879	0.004197
100.212511	5607	0.008846
10.977786	5846	0.000962
24.046188	5320	0.002378
7.973523	5805	0.001023
28.745736	5385	0.003935
48.486331	5089	0.003543
49.341523	5137	0.005007
29.819232	5348	0.003223
45.854235	4866	0.005314
162.582576	4871	0.011679
34.512372	5348	0.002815
108.839200	4434	0.009130
20.378634	5872	0.001946
43.433726	5401	0.005022
57.863675	5493	0.006342
109.737253	4577	0.008257
181.846305	4310	0.008124
46.501038	5320	0.003709
34.617764	5387	0.002343
19.843336	5798	0.002896
72.380927	5084	0.005165
29.560386	5656	0.004528
80.434202	5590	0.004101
40.687227	5388	0.005507
67.454830	5392	0.009338
85.558146	3830	0.004737
63.933617	4368	0.009279
102.856457	3692	0.004928
20.151910	5187	0.003225
44.731879	5587	0.001423
51.435395	4451	0.007108
315.822146	4373	0.012039
144.297261	4312	0.009172
73.712138	5427	0.004589
10.459675	5396	0.001851
125.419900	4994	0.006652
163.339681	5356	0.013142
